name,place_id,business_status,types,lat,lng
Fundación Talentos,ChIJ63dvIN2jb48RsYUnrNtBndQ,OPERATIONAL,"point_of_interest,establishment",14.0940348,-87.19622460000001
Active Education Center,ChIJPRLcitqXb48RUB3yBGo4cAs,OPERATIONAL,"school,point_of_interest,establishment",14.0948231,-87.1947854
Playhouse,ChIJs1W1Cymjb48RVUFad-3kYXs,OPERATIONAL,"school,point_of_interest,establishment",14.0942752,-87.19183749999999
CEPBG Mundo Infantil,ChIJDwpnvr-Zb48RDrt0OdYv5nQ,OPERATIONAL,"school,point_of_interest,establishment",14.0976146,-87.24941899999999
Jardin De Niños Concepción Amador,ChIJr4Auow-Yb48RZhS6U42AFVU,OPERATIONAL,"school,point_of_interest,establishment",14.0979782,-87.2288794
Casa Hogar Rodas,ChIJueKRKQCjb48RIlcTaTURvw0,OPERATIONAL,"school,point_of_interest,establishment",14.0975138,-87.2171497
Centro de cuidado infantil Modelo (CCI MODELO),ChIJDe2W10ijb48Ris96gVIFdtY,OPERATIONAL,"school,point_of_interest,establishment",14.0976335,-87.2074081
Kinder El Carmen,ChIJ_QExt3yjb48RY2ud_fYMbDA,OPERATIONAL,"school,point_of_interest,establishment",14.0979866,-87.19956529999999
"Kinder ""Estrellitas del Mañana""",ChIJLXRb05mlb48R-Ag4H6OAZ6I,OPERATIONAL,"school,point_of_interest,establishment",14.0959389,-87.13735369999999
instituto Huellas de vida,ChIJJUAH4i6Zb48R_PC-sFt1_F8,OPERATIONAL,"school,point_of_interest,establishment",14.0910185,-87.2550808
CEPBG NUEVO AMANECER,ChIJhzkwkGGZb48RcVDGUiMJvaY,OPERATIONAL,"school,point_of_interest,establishment",14.0994342,-87.24184040000002
Kinder oficial las crucitas,ChIJaRzW1bKjb48RO2i3_h3wbb0,OPERATIONAL,"school,point_of_interest,establishment",14.0987904,-87.2173686
"Jardin de Niños Enriqueta de Lázarus, La Isla",ChIJO6hs59mjb48R7dwuD4jZ_Dk,OPERATIONAL,"school,point_of_interest,establishment",14.100252,-87.2049862
Centro de Estimulación para el Niño,ChIJzbjEiyejb48RuuIcL9xkwbM,OPERATIONAL,"school,point_of_interest,establishment",14.0982723,-87.1943277
Bricks 4 Kidz Tegucigalpa,ChIJaZGmSKqjb48R7eYOPJ-k-dU,OPERATIONAL,"point_of_interest,establishment",14.0964249,-87.18535059999999
CEPB MANOS EXTENDIDAS #2,ChIJiRWSCzKZb48RjlzkWa8SeFQ,OPERATIONAL,"school,point_of_interest,establishment",14.1014175,-87.2555418
CEPBG Fantasías Infantiles,ChIJR5y-XEmZb48RJ8q5Sqm99AI,OPERATIONAL,"school,point_of_interest,establishment",14.1021798,-87.2521441
CCEPREB JIREH,ChIJI62LuZ-Zb48RJXMP9oNt2JE,OPERATIONAL,"school,point_of_interest,establishment",14.1026731,-87.2499896
Kinder Union y Esfuerzo,ChIJj2TQ8x6Zb48R_Q0K_oow9RY,OPERATIONAL,"school,point_of_interest,establishment",14.1015546,-87.245318
Jardín de niños Camara Junior N1,ChIJrQkP6eeZb48RZnPeDftkdic,OPERATIONAL,"school,point_of_interest,establishment",14.1017437,-87.23574839999999
CCEPREB ¨UN PUEBLO UNICO ¨,ChIJs3oMPr6Zb48RF1zsVwgSHbI,OPERATIONAL,"school,point_of_interest,establishment",14.1019295,-87.2306462
